#2013 ACS data (B25040),,,,,,,,,,,,,,,,,,,,
Community Name,Borough/Census Area,Total,Error Total,Utility Gas,Error Utility gas,LP,Error LP,Electricity,Error Electricity,Fuel Oil,Error Fuel Oil,Coal,Error Coal,Wood,Error Wood,Solar,Error Solar,Other,Error Other,No fuel used
Joint Base Elmendorf-Richardson,Anchorage Municipality,1,0.0076134895,0.821591514,0.0109307277,0.0085164626,0.0015683218,0.1346950802,0.007356855,0.0230971029,0.0036879325,0.0002186146,0.0002471295,0.0062067523,0.0017774314,0,0.0002091096,0.0031461486,0.0012356475,0.0025283248
Juneau,Juneau City and Borough,1,0.0177700636,0.0234730143,0.0078518886,0.0299198281,0.010083478,0.2255558311,0.0214067278,0.6707992396,0.0264484668,0.0011571204,0.001983635,0.0334738408,0.0115712042,0,0.0016530292,0.0101661294,0.005041739,0.0054549963
Kachemak,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Kachemak Selo,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Kaguyak,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Kake,Prince of Wales-Hyder Census Area,1,0.0428571429,0.00625,0.0040178571,0.0325892857,0.0116071429,0.1299107143,0.025,0.4830357143,0.0415178571,0.0008928571,0.0013392857,0.3424107143,0.0379464286,0,0.0058035714,0.0040178571,0.0026785714,0.0008928571
Kaktovik,North Slope Borough,1,0.083919598,0.6658291457,0.0547738693,0.0005025126,0.0015075377,0.027638191,0.0165829146,0.3035175879,0.0467336683,0,0.0065326633,0,0.0065326633,0,0.0065326633,0.0025125628,0.0020100503,0
Kalifornsky,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Kaltag,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Kanatak,Bristol Bay Borough,1,0.1302083333,0,0.0234375,0,0.0234375,0,0.0234375,0.9635416667,0.125,0,0.0234375,0.0130208333,0.0104166667,0,0.0234375,0.0182291667,0.015625,0.0052083333
Karluk,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Kasaan,Prince of Wales-Hyder Census Area,1,0.0428571429,0.00625,0.0040178571,0.0325892857,0.0116071429,0.1299107143,0.025,0.4830357143,0.0415178571,0.0008928571,0.0013392857,0.3424107143,0.0379464286,0,0.0058035714,0.0040178571,0.0026785714,0.0008928571
Kasigluk,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Kasilof,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Kenai,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Kenai Peninsula Borough,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Kenny Lake,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
Ketchikan,Ketchikan Gateway Borough,1,0.0343720491,0.0209631728,0.0094428706,0.0343720491,0.0103871577,0.2513692162,0.0309726157,0.6039660057,0.0409820585,0,0.0028328612,0.0781869688,0.0207743154,0,0.0028328612,0.0107648725,0.0081208687,0.0003777148
Ketchikan Gateway Borough,Ketchikan Gateway Borough,1,0.0343720491,0.0209631728,0.0094428706,0.0343720491,0.0103871577,0.2513692162,0.0309726157,0.6039660057,0.0409820585,0,0.0028328612,0.0781869688,0.0207743154,0,0.0028328612,0.0107648725,0.0081208687,0.0003777148
Kiana,Northwest Arctic Borough,1,0.0382932166,0.0185995624,0.010940919,0.0016411379,0.0032822757,0.0251641138,0.0098468271,0.851750547,0.0399343545,0,0.0071115974,0.0596280088,0.0120350109,0.0010940919,0.0016411379,0.0421225383,0.0169584245,0
King Cove,Aleutians East Borough,1,0.3977011494,0.0137931034,0.0229885057,0.0022988506,0.0114942529,0.0275862069,0.0252873563,0.9218390805,0.3563218391,0,0.0206896552,0.0298850575,0.0252873563,0,0.0206896552,0.0045977011,0.0068965517,0
King Island,Nome Census Area,1,0.0368251698,0.0128709331,0.0075080443,0.0035752592,0.0035752592,0.0278870218,0.0132284591,0.9138362531,0.0350375402,0,0.004647837,0.040757955,0.0107257776,0,0.004647837,0.0010725778,0.0014301037,0
King Salmon,Bristol Bay Borough,1,0.1302083333,0,0.0234375,0,0.0234375,0,0.0234375,0.9635416667,0.125,0,0.0234375,0.0130208333,0.0104166667,0,0.0234375,0.0182291667,0.015625,0.0052083333
Kipnuk,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Kivalina,Northwest Arctic Borough,1,0.0382932166,0.0185995624,0.010940919,0.0016411379,0.0032822757,0.0251641138,0.0098468271,0.851750547,0.0399343545,0,0.0071115974,0.0596280088,0.0120350109,0.0010940919,0.0016411379,0.0421225383,0.0169584245,0
Klawock,Prince of Wales-Hyder Census Area,1,0.0428571429,0.00625,0.0040178571,0.0325892857,0.0116071429,0.1299107143,0.025,0.4830357143,0.0415178571,0.0008928571,0.0013392857,0.3424107143,0.0379464286,0,0.0058035714,0.0040178571,0.0026785714,0.0008928571
Klehini Valley,Haines Borough,1,0.086746988,0.0321285141,0.0385542169,0.0072289157,0.0184738956,0.0417670683,0.0289156627,0.5983935743,0.1124497992,0,0.0072289157,0.3204819277,0.0803212851,0,0.0072289157,0,0.0072289157,0
Klukwan,Hoonah-Angoon Census Area,1,0.0720430108,0.0204301075,0.0129032258,0.0150537634,0.011827957,0.0139784946,0.011827957,0.6419354839,0.0709677419,0,0.0096774194,0.3032258065,0.0537634409,0.0043010753,0.0064516129,0.0010752688,0.0043010753,0
Knight Island,Yakutat City and Borough,1,0.1653543307,0.0393700787,0.0433070866,0.0039370079,0.0118110236,0.0433070866,0.031496063,0.7795275591,0.1417322835,0,0.0354330709,0.1299212598,0.0590551181,0,0.0354330709,0.0039370079,0.0078740157,0
Knik,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Knik River,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Knik-Fairview,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Kobuk,Northwest Arctic Borough,1,0.0382932166,0.0185995624,0.010940919,0.0016411379,0.0032822757,0.0251641138,0.0098468271,0.851750547,0.0399343545,0,0.0071115974,0.0596280088,0.0120350109,0.0010940919,0.0016411379,0.0421225383,0.0169584245,0
Kodiak,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Kodiak Island Borough,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Kodiak Station,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Kokhanok,Lake and Peninsula Borough,1,0.1161417323,0,0.0177165354,0,0.0177165354,0.0118110236,0.0118110236,0.8661417323,0.1122047244,0,0.0177165354,0.1141732283,0.031496063,0,0.0177165354,0.0078740157,0.0078740157,0
Koliganek,Dillingham Census Area,1,0.0455563854,0.0164301718,0.0126960418,0,0.0097087379,0.0126960418,0.0104555639,0.8528752801,0.0485436893,0,0.0097087379,0.1127707244,0.0238984317,0.002240478,0.0044809559,0.002987304,0.0052277819,0
Kongiganak,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Kotlik,Kusilvak Census Area,1,0.0355504587,0.0172018349,0.0103211009,0.0040137615,0.0040137615,0.0166284404,0.0086009174,0.7672018349,0.0361238532,0.001146789,0.0017201835,0.190940367,0.0206422018,0,0.0074541284,0.0028669725,0.0028669725,0
Kotzebue,Northwest Arctic Borough,1,0.0382932166,0.0185995624,0.010940919,0.0016411379,0.0032822757,0.0251641138,0.0098468271,0.851750547,0.0399343545,0,0.0071115974,0.0596280088,0.0120350109,0.0010940919,0.0016411379,0.0421225383,0.0169584245,0
Koyuk,Nome Census Area,1,0.0368251698,0.0128709331,0.0075080443,0.0035752592,0.0035752592,0.0278870218,0.0132284591,0.9138362531,0.0350375402,0,0.004647837,0.040757955,0.0107257776,0,0.004647837,0.0010725778,0.0014301037,0
Koyukuk,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Kupreanof,Petersburg Census Area,1,0.0809494827,0.04686549,0.0298234936,0.0091296409,0.0073037127,0.2726719416,0.0499087036,0.5252586732,0.0681679854,0,0.0054777845,0.1424223981,0.0371272063,0,0.0054777845,0.0030432136,0.0030432136,0.0006086427
Kwethluk,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Kwigillingok,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Lake and Peninsula Borough,Lake and Peninsula Borough,1,0.1161417323,0,0.0177165354,0,0.0177165354,0.0118110236,0.0118110236,0.8661417323,0.1122047244,0,0.0177165354,0.1141732283,0.031496063,0,0.0177165354,0.0078740157,0.0078740157,0
Lake Louise,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Lake Minchumina,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Lakes,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Larsen Bay,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Lazy Mountain,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Levelock,Lake and Peninsula Borough,1,0.1161417323,0,0.0177165354,0,0.0177165354,0.0118110236,0.0118110236,0.8661417323,0.1122047244,0,0.0177165354,0.1141732283,0.031496063,0,0.0177165354,0.0078740157,0.0078740157,0
Lignite,Denali Borough,1,0.1201117318,0.0139664804,0.0223463687,0,0.0125698324,0.0363128492,0.0279329609,0.5656424581,0.1131284916,0.155027933,0.0642458101,0.2290502793,0.0726256983,0,0.0125698324,0,0.0125698324,0
Lime Village,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Litnik,Kodiak Island Borough,1,0.0399911131,0.0344367918,0.0153299267,0.0048878027,0.0046656299,0.0806487447,0.0277716063,0.8049322373,0.0499888914,0,0.0033325928,0.056431904,0.0204399022,0,0.0033325928,0.0171073095,0.0102199511,0.00155521
Livengood,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Loring,Ketchikan Gateway Borough,1,0.0343720491,0.0209631728,0.0094428706,0.0343720491,0.0103871577,0.2513692162,0.0309726157,0.6039660057,0.0409820585,0,0.0028328612,0.0781869688,0.0207743154,0,0.0028328612,0.0107648725,0.0081208687,0.0003777148
Lowell Point,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Lower Kalskag,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Lutak,Haines Borough,1,0.086746988,0.0321285141,0.0385542169,0.0072289157,0.0184738956,0.0417670683,0.0289156627,0.5983935743,0.1124497992,0,0.0072289157,0.3204819277,0.0803212851,0,0.0072289157,0,0.0072289157,0
Manley Hot Springs,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Manokotak,Dillingham Census Area,1,0.0455563854,0.0164301718,0.0126960418,0,0.0097087379,0.0126960418,0.0104555639,0.8528752801,0.0485436893,0,0.0097087379,0.1127707244,0.0238984317,0.002240478,0.0044809559,0.002987304,0.0052277819,0
Marshall,Kusilvak Census Area,1,0.0355504587,0.0172018349,0.0103211009,0.0040137615,0.0040137615,0.0166284404,0.0086009174,0.7672018349,0.0361238532,0.001146789,0.0017201835,0.190940367,0.0206422018,0,0.0074541284,0.0028669725,0.0028669725,0
Mary's Igloo,Nome Census Area,1,0.0368251698,0.0128709331,0.0075080443,0.0035752592,0.0035752592,0.0278870218,0.0132284591,0.9138362531,0.0350375402,0,0.004647837,0.040757955,0.0107257776,0,0.004647837,0.0010725778,0.0014301037,0
Matanuska-Susitna Borough,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
McCarthy,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
McGrath,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
McKinley Park,Denali Borough,1,0.1201117318,0.0139664804,0.0223463687,0,0.0125698324,0.0363128492,0.0279329609,0.5656424581,0.1131284916,0.155027933,0.0642458101,0.2290502793,0.0726256983,0,0.0125698324,0,0.0125698324,0
Meadow Lakes,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Medfra,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Mekoryuk,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Mendeltna,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
Mentasta Lake,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
Mertarvik,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Metlakatla,Prince of Wales-Hyder Census Area,1,0.0428571429,0.00625,0.0040178571,0.0325892857,0.0116071429,0.1299107143,0.025,0.4830357143,0.0415178571,0.0008928571,0.0013392857,0.3424107143,0.0379464286,0,0.0058035714,0.0040178571,0.0026785714,0.0008928571
Meyers Chuck,Wrangell City and Borough,1,0.0774586597,0.0208877285,0.0217580505,0.001740644,0.0034812881,0.3542210618,0.0661444735,0.3672758921,0.0678851175,0,0.0078328982,0.2428198433,0.0644038294,0,0.0078328982,0.0104438642,0.0139251523,0.0026109661
Millers Landing,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Minto,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
Montana Creek,Matanuska-Susitna Borough,1,0.0133984513,0.6988722167,0.0156797224,0.0121774893,0.0032451884,0.0578350416,0.0076149471,0.1487645793,0.0091250843,0.0025061851,0.0012530926,0.0738360698,0.0068759438,0,0.0007068727,0.0042412364,0.0020242265,0.0017671818
Moose Creek,Fairbanks North Star Borough,1,0.0178992919,0.0543160616,0.0081488142,0.0139934809,0.0043835001,0.0694335169,0.009385186,0.7566595482,0.0226480836,0.0169439137,0.0050297853,0.0701079015,0.0103405642,0.0003652917,0.0006181859,0.0141620771,0.0043835001,0.0040182084
Moose Pass,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Mosquito Lake,Haines Borough,1,0.086746988,0.0321285141,0.0385542169,0.0072289157,0.0184738956,0.0417670683,0.0289156627,0.5983935743,0.1124497992,0,0.0072289157,0.3204819277,0.0803212851,0,0.0072289157,0,0.0072289157,0
Mountain Point,Ketchikan Gateway Borough,1,0.0343720491,0.0209631728,0.0094428706,0.0343720491,0.0103871577,0.2513692162,0.0309726157,0.6039660057,0.0409820585,0,0.0028328612,0.0781869688,0.0207743154,0,0.0028328612,0.0107648725,0.0081208687,0.0003777148
Mountain Village,Kusilvak Census Area,1,0.0355504587,0.0172018349,0.0103211009,0.0040137615,0.0040137615,0.0166284404,0.0086009174,0.7672018349,0.0361238532,0.001146789,0.0017201835,0.190940367,0.0206422018,0,0.0074541284,0.0028669725,0.0028669725,0
Mud Bay,Haines Borough,1,0.086746988,0.0321285141,0.0385542169,0.0072289157,0.0184738956,0.0417670683,0.0289156627,0.5983935743,0.1124497992,0,0.0072289157,0.3204819277,0.0803212851,0,0.0072289157,0,0.0072289157,0
Municipality of Anchorage,Anchorage Municipality,1,0.0076134895,0.821591514,0.0109307277,0.0085164626,0.0015683218,0.1346950802,0.007356855,0.0230971029,0.0036879325,0.0002186146,0.0002471295,0.0062067523,0.0017774314,0,0.0002091096,0.0031461486,0.0012356475,0.0025283248
Municipality of Skagway,Skagway Municipality,1,0.1480582524,0.0242718447,0.0291262136,0.0509708738,0.0412621359,0.0339805825,0.0194174757,0.8009708738,0.1334951456,0,0.0218446602,0.0898058252,0.036407767,0,0.0218446602,0,0.0218446602,0
Nabesna,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
Nagamut,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Naknek,Bristol Bay Borough,1,0.1302083333,0,0.0234375,0,0.0234375,0,0.0234375,0.9635416667,0.125,0,0.0234375,0.0130208333,0.0104166667,0,0.0234375,0.0182291667,0.015625,0.0052083333
Nanwalek,Kenai Peninsula Borough,1,0.0202578269,0.4618324125,0.0198434622,0.0424953959,0.0056629834,0.0637200737,0.0080570902,0.3044198895,0.0160220994,0.0032228361,0.0014732965,0.1175414365,0.013305709,0,0.0010128913,0.0049723757,0.0022559853,0.0017955801
Napaimute,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Napakiak,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Napaskiak,Bethel Census Area,1,0.0344194585,0.0059660395,0.0048187242,0.0011473153,0.0018357045,0.0176686553,0.0103258375,0.8558972006,0.0318953648,0.0002294631,0.0004589261,0.1165672327,0.016291877,0,0.0034419458,0.0025240936,0.0011473153,0
Naukati Bay,Prince of Wales-Hyder Census Area,1,0.0428571429,0.00625,0.0040178571,0.0325892857,0.0116071429,0.1299107143,0.025,0.4830357143,0.0415178571,0.0008928571,0.0013392857,0.3424107143,0.0379464286,0,0.0058035714,0.0040178571,0.0026785714,0.0008928571
Nelchina,Valdez-Cordova Census Area,1,0.0481892523,0.0464369159,0.0181074766,0.0292056075,0.0204439252,0.0227803738,0.0143107477,0.6787383178,0.0514018692,0.003796729,0.0035046729,0.2129088785,0.0362149533,0,0.003796729,0.003796729,0.004088785,0.0023364486
Nelson Lagoon,Aleutians East Borough,1,0.3977011494,0.0137931034,0.0229885057,0.0022988506,0.0114942529,0.0275862069,0.0252873563,0.9218390805,0.3563218391,0,0.0206896552,0.0298850575,0.0252873563,0,0.0206896552,0.0045977011,0.0068965517,0
Nenana,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
New Allakaket,Yukon-Koyukuk Census Area,1,0.0398832685,0.0048638132,0.0058365759,0.0009727626,0.001459144,0.0087548638,0.0058365759,0.5102140078,0.0267509728,0.0077821012,0.0053501946,0.4630350195,0.031614786,0.0009727626,0.001459144,0.001459144,0.0019455253,0.0019455253
New Stuyahok,Dillingham Census Area,1,0.0455563854,0.0164301718,0.0126960418,0,0.0097087379,0.0126960418,0.0104555639,0.8528752801,0.0485436893,0,0.0097087379,0.1127707244,0.0238984317,0.002240478,0.0044809559,0.002987304,0.0052277819,0
Newhalen,Lake and Peninsula Borough,1,0.1161417323,0,0.0177165354,0,0.0177165354,0.0118110236,0.0118110236,0.8661417323,0.1122047244,0,0.0177165354,0.1141732283,0.031496063,0,0.0177165354,0.0078740157,0.0078740157,0
